tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	autostub	autostub	autostub	autostub
results/autostub/	status	cputime (s)	walltime (s)	memory (MB)
Long_public_double_java_lang_Long_doubleValue	unknown	0.504000	0.504000	0.000000
Long_public_float_java_lang_Long_floatValue	unknown	0.483000	0.483000	0.000000
Long_public_int_java_lang_Long_compareTo_java_lang_Long	unknown	0.486000	0.486000	0.000000
Long_public_int_java_lang_Long_intValue	unknown	0.492000	0.492000	0.000000
Long_public_java_lang_String_java_lang_Long_toString	unknown	0.476000	0.476000	0.000000
Long_public_long_java_lang_Long_longValue	unknown	0.493000	0.493000	0.000000
Long_public_short_java_lang_Long_shortValue	unknown	0.505000	0.505000	0.000000
Long_public_static_int_java_lang_Long_bitCount_long	unknown	0.491000	0.491000	0.000000
Long_public_static_int_java_lang_Long_compareUnsigned_long_long	unknown	0.495000	0.495000	0.000000
Long_public_static_int_java_lang_Long_compare_long_long	unknown	0.488000	0.488000	0.000000
Long_public_static_int_java_lang_Long_numberOfLeadingZeros_long	unknown	0.490000	0.490000	0.000000
Long_public_static_int_java_lang_Long_numberOfTrailingZeros_long	unknown	0.492000	0.492000	0.000000
Long_public_static_int_java_lang_Long_signum_long	unknown	0.487000	0.487000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_java_lang_Long	unknown	0.483000	0.483000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_long	unknown	0.506000	0.506000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_valueOf_long	unknown	0.478000	0.478000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toBinaryString_long	unknown	0.478000	0.478000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toHexString_long	unknown	0.470000	0.470000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toOctalString_long	unknown	0.481000	0.481000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toString_long	unknown	0.470000	0.470000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toString_long_int	unknown	0.487000	0.487000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long	unknown	0.476000	0.476000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long_int	unknown	0.484000	0.484000	0.000000
Long_public_static_long_java_lang_Long_highestOneBit_long	unknown	0.500000	0.500000	0.000000
Long_public_static_long_java_lang_Long_lowestOneBit_long	unknown	0.490000	0.490000	0.000000
Long_public_static_long_java_lang_Long_max_long_long	unknown	0.493000	0.493000	0.000000
Long_public_static_long_java_lang_Long_min_long_long	unknown	0.482000	0.482000	0.000000
Long_public_static_long_java_lang_Long_reverseBytes_long	unknown	0.472000	0.472000	0.000000
Long_public_static_long_java_lang_Long_reverse_long	unknown	0.463000	0.463000	0.000000
Long_public_static_long_java_lang_Long_rotateLeft_long_int	unknown	0.477000	0.477000	0.000000
Long_public_static_long_java_lang_Long_rotateRight_long_int	unknown	0.472000	0.472000	0.000000
Long_public_static_long_java_lang_Long_sum_long_long	unknown	0.469000	0.469000	0.000000
Math_public_static_int_java_lang_Math_abs_int	unknown	0.477000	0.477000	0.000000
Math_public_static_int_java_lang_Math_getExponent_double	unknown	0.476000	0.476000	0.000000
Math_public_static_int_java_lang_Math_getExponent_float	unknown	0.473000	0.473000	0.000000
Math_public_static_int_java_lang_Math_max_int_int	unknown	0.486000	0.486000	0.000000
Math_public_static_int_java_lang_Math_min_int_int	unknown	0.487000	0.487000	0.000000
Math_public_static_int_java_lang_Math_round_float	unknown	0.456000	0.456000	0.000000
Math_public_static_long_java_lang_Math_abs_long	unknown	0.485000	0.485000	0.000000
Math_public_static_long_java_lang_Math_max_long_long	unknown	0.495000	0.495000	0.000000
Math_public_static_long_java_lang_Math_min_long_long	unknown	0.497000	0.497000	0.000000
