tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
String_public_boolean_java_lang_String_startsWith_java_lang_String	correct	0.662000	0.662000	0.000000
String_public_int_java_lang_String_compareToIgnoreCase_java_lang_String	unknown	0.478000	0.478000	0.000000
String_public_int_java_lang_String_compareTo_java_lang_String	unknown	0.467000	0.467000	0.000000
String_public_java_lang_String_java_lang_String_concat_java_lang_String	correct	0.733000	0.733000	0.000000
String_public_java_lang_String_java_lang_String_replace_char_char	unknown	0.474000	0.474000	0.000000
String_public_java_lang_String_java_lang_String_toLowerCase	correct	0.482000	0.482000	0.000000
String_public_java_lang_String_java_lang_String_toString	unknown	0.571000	0.571000	0.000000
String_public_java_lang_String_java_lang_String_toUpperCase	correct	0.477000	0.477000	0.000000
String_public_java_lang_String_java_lang_String_trim	unknown	0.569000	0.569000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_boolean	unknown	0.487000	0.487000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_char	unknown	0.483000	0.483000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_double	unknown	0.472000	0.472000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_float	unknown	0.468000	0.468000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_int	unknown	0.487000	0.487000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_long	unknown	0.476000	0.476000	0.000000
Bessel	correct	0.545000	0.545000	0.000000
Conflict	correct	0.547000	0.547000	0.000000
EulerMethod	incorrect	0.698000	0.698000	0.000000
MathSin	unknown	0.512000	0.512000	0.000000
Optimization1	unknown	0.548000	0.548000	0.000000
Optimization2	unknown	0.546000	0.546000	0.000000
Optimization3	incorrect	0.550000	0.550000	0.000000
Optimization4	unknown	0.547000	0.547000	0.000000
Optimization5	unknown	0.547000	0.547000	0.000000
Optimization6	unknown	0.551000	0.551000	0.000000
PartitionEx	correct	0.536000	0.536000	0.000000
TurnLogic	correct	0.605000	0.605000	0.000000
coral1	unknown	0.548000	0.548000	0.000000
coral10	unknown	0.543000	0.543000	0.000000
coral11	unknown	0.546000	0.546000	0.000000
coral12	unknown	0.563000	0.563000	0.000000
coral13	unknown	0.546000	0.546000	0.000000
coral14	unknown	0.559000	0.559000	0.000000
coral15	unknown	0.555000	0.555000	0.000000
coral16	incorrect	0.570000	0.570000	0.000000
coral17	unknown	0.557000	0.557000	0.000000
coral18	unknown	0.551000	0.551000	0.000000
coral19	unknown	0.553000	0.553000	0.000000
coral2	unknown	0.548000	0.548000	0.000000
coral20	unknown	0.546000	0.546000	0.000000
coral21	unknown	0.602000	0.602000	0.000000
coral22	unknown	0.570000	0.570000	0.000000
coral23	correct	0.552000	0.552000	0.000000
coral26	correct	0.548000	0.548000	0.000000
coral27	unknown	0.578000	0.578000	0.000000
coral28	unknown	0.572000	0.572000	0.000000
coral29	unknown	0.555000	0.555000	0.000000
coral3	correct	0.551000	0.551000	0.000000
coral30	unknown	0.498000	0.498000	0.000000
coral31	incorrect	0.551000	0.551000	0.000000
coral32	unknown	0.550000	0.550000	0.000000
coral33	unknown	0.554000	0.554000	0.000000
coral34	unknown	0.552000	0.552000	0.000000
coral35	unknown	0.544000	0.544000	0.000000
coral36	unknown	0.517000	0.517000	0.000000
coral38	unknown	0.560000	0.560000	0.000000
coral39	incorrect	0.561000	0.561000	0.000000
coral4	unknown	0.547000	0.547000	0.000000
coral40	incorrect	0.553000	0.553000	0.000000
coral41	incorrect	0.541000	0.541000	0.000000
coral42	incorrect	0.539000	0.539000	0.000000
coral43	incorrect	0.540000	0.540000	0.000000
coral44	incorrect	0.541000	0.541000	0.000000
coral45	unknown	0.548000	0.548000	0.000000
coral46	unknown	0.552000	0.552000	0.000000
coral48	incorrect	0.541000	0.541000	0.000000
coral49	unknown	0.548000	0.548000	0.000000
coral5	correct	0.564000	0.564000	0.000000
coral50	unknown	0.544000	0.544000	0.000000
coral51	unknown	0.571000	0.571000	0.000000
coral52	unknown	0.538000	0.538000	0.000000
coral53	unknown	0.558000	0.558000	0.000000
coral54	unknown	0.532000	0.532000	0.000000
coral55	correct	0.543000	0.543000	0.000000
coral56	incorrect	0.557000	0.557000	0.000000
coral57	incorrect	0.558000	0.558000	0.000000
coral58	incorrect	0.559000	0.559000	0.000000
coral59	incorrect	0.544000	0.544000	0.000000
coral6	unknown	0.546000	0.546000	0.000000
coral60	incorrect	0.554000	0.554000	0.000000
coral61	incorrect	0.552000	0.552000	0.000000
coral62	incorrect	0.538000	0.538000	0.000000
coral63	incorrect	0.534000	0.534000	0.000000
coral64	incorrect	0.545000	0.545000	0.000000
coral65	incorrect	0.551000	0.551000	0.000000
coral66	incorrect	0.554000	0.554000	0.000000
coral67	incorrect	0.552000	0.552000	0.000000
coral68	incorrect	0.551000	0.551000	0.000000
coral69	incorrect	0.552000	0.552000	0.000000
coral71	unknown	0.538000	0.538000	0.000000
coral72	unknown	0.547000	0.547000	0.000000
coral73	unknown	0.534000	0.534000	0.000000
coral74	unknown	0.546000	0.546000	0.000000
coral75	unknown	0.572000	0.572000	0.000000
coral76	incorrect	0.535000	0.535000	0.000000
coral77	incorrect	0.552000	0.552000	0.000000
coral79	incorrect	0.558000	0.558000	0.000000
coral80	correct	0.550000	0.550000	0.000000
coral81	unknown	0.557000	0.557000	0.000000
coral84	unknown	0.553000	0.553000	0.000000
coral9	unknown	0.569000	0.569000	0.000000
coral91	correct	0.528000	0.528000	0.000000
Adjustable-Inner-Count-Halving	incorrect	0.610000	0.610000	0.000000
Alternating-Step-Schedule	correct	0.550000	0.550000	0.000000
Batch-Conveyor-Counter	correct	0.615000	0.615000	0.000000
Bounded-Proportional-Update	correct	0.600000	0.600000	0.000000
Bounded-Reset-Linear-Growth	correct	0.597000	0.597000	0.000000
Clamped-Triangular-Drift	correct	0.603000	0.603000	0.000000
Cyclic-Preset-Inner-ABC	correct	0.629000	0.629000	0.000000
Fixed-Block-Accumulator	correct	0.603000	0.603000	0.000000
Hysteresis-On-Off-with-Deadband	correct	0.713000	0.713000	0.000000
Inner-Retry-Until-OK	correct	0.597000	0.597000	0.000000
Leak-and-Refill	correct	0.611000	0.611000	0.000000
Mixed-Phase-AddHalve-with-Slack-Box	correct	0.791000	0.791000	0.000000
Nested-Drain-Then-Step	correct	0.605000	0.605000	0.000000
Nested-MinStep-Regulator	correct	0.615000	0.615000	0.000000
Nested-PingPong-with-Caps	correct	0.614000	0.614000	0.000000
Nested-Saturation-Then-Reset	correct	0.593000	0.593000	0.000000
Nested-Windowed-Add-Remove	correct	0.615000	0.615000	0.000000
Producer-Consumer-Level	correct	0.615000	0.615000	0.000000
Ramp-and-Hold	correct	0.594000	0.594000	0.000000
Safe-Accumulator-with-Bounded-Noise	correct	1.223000	1.223000	0.000000
Saturating-Integrator	correct	0.607000	0.607000	0.000000
Slew-Rate-Limiter	correct	0.616000	0.616000	0.000000
Switched-Linear-Plant	correct	0.598000	0.598000	0.000000
Two-Band-Piecewise-Linear-Oscillator	correct	0.595000	0.595000	0.000000
Two-Counter-Lexicographic-Small	correct	0.610000	0.610000	0.000000
Two-Level-Nested-Scheduler	correct	0.612000	0.612000	0.000000
Two-State-FP-Oscillator	correct	0.605000	0.605000	0.000000
Two-Var-Nested-Handshake	correct	0.604000	0.604000	0.000000
Two-Variable_Averaging_Filter	correct	0.611000	0.611000	0.000000
Unbounded-Outer-Inner-Safety-Gate	correct	0.605000	0.605000	0.000000
LoopCharAt	incorrect	19.168000	19.168000	0.000000
TCAS_prop1	correct	2.439000	2.439000	0.000000
TCAS_prop2	correct	5.340000	5.340000	0.000000
TCAS_prop3	correct	5.349000	5.349000	0.000000
apachecli_eqchk	correct	22.609000	22.609000	0.000000
schedule_eqchk	correct	2.559000	2.559000	0.000000
Ackermann01	correct	0.614000	0.614000	0.000000
Addition	correct	0.643000	0.643000	0.000000
InfiniteLoop	correct	0.608000	0.608000	0.000000
SatAckermann01	correct	11.375000	11.375000	0.000000
