tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
Double_public_static_java_lang_String_java_lang_Double_toHexString_double	unknown	0.447000	0.447000	0.000000
Double_public_static_java_lang_String_java_lang_Double_toString_double	unknown	0.444000	0.444000	0.000000
Double_public_static_long_java_lang_Double_doubleToLongBits_double	unknown	0.448000	0.448000	0.000000
Double_public_static_native_long_java_lang_Double_doubleToRawLongBits_double	unknown	0.434000	0.434000	0.000000
Float_public_boolean_java_lang_Float_isInfinite	unknown	0.465000	0.465000	0.000000
Float_public_boolean_java_lang_Float_isNaN	unknown	0.445000	0.445000	0.000000
Float_public_byte_java_lang_Float_byteValue	unknown	0.446000	0.446000	0.000000
Float_public_int_java_lang_Float_compareTo_java_lang_Float	unknown	0.437000	0.437000	0.000000
Float_public_int_java_lang_Float_intValue	unknown	0.448000	0.448000	0.000000
Float_public_java_lang_String_java_lang_Float_toString	unknown	0.453000	0.453000	0.000000
Float_public_long_java_lang_Float_longValue	unknown	0.446000	0.446000	0.000000
Float_public_short_java_lang_Float_shortValue	unknown	0.450000	0.450000	0.000000
Float_public_static_boolean_java_lang_Float_isFinite_float	unknown	0.435000	0.435000	0.000000
Float_public_static_boolean_java_lang_Float_isInfinite_float	unknown	0.445000	0.445000	0.000000
Float_public_static_boolean_java_lang_Float_isNaN_float	unknown	0.439000	0.439000	0.000000
Float_public_static_int_java_lang_Float_compare_float_float	unknown	0.447000	0.447000	0.000000
Float_public_static_int_java_lang_Float_floatToIntBits_float	unknown	0.454000	0.454000	0.000000
Float_public_static_java_lang_String_java_lang_Float_toHexString_float	unknown	0.450000	0.450000	0.000000
Float_public_static_java_lang_String_java_lang_Float_toString_float	unknown	0.435000	0.435000	0.000000
Float_public_static_native_int_java_lang_Float_floatToRawIntBits_float	unknown	0.448000	0.448000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_int	unknown	0.458000	0.458000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_java_lang_Integer	unknown	0.461000	0.461000	0.000000
Long_public_byte_java_lang_Long_byteValue	unknown	0.443000	0.443000	0.000000
Long_public_double_java_lang_Long_doubleValue	unknown	0.432000	0.432000	0.000000
Long_public_float_java_lang_Long_floatValue	unknown	0.460000	0.460000	0.000000
Long_public_int_java_lang_Long_compareTo_java_lang_Long	unknown	0.466000	0.466000	0.000000
Long_public_int_java_lang_Long_intValue	unknown	0.453000	0.453000	0.000000
Long_public_java_lang_String_java_lang_Long_toString	unknown	0.452000	0.452000	0.000000
Long_public_long_java_lang_Long_longValue	unknown	0.443000	0.443000	0.000000
Long_public_short_java_lang_Long_shortValue	unknown	0.449000	0.449000	0.000000
Long_public_static_int_java_lang_Long_bitCount_long	unknown	0.439000	0.439000	0.000000
Long_public_static_int_java_lang_Long_compareUnsigned_long_long	unknown	0.437000	0.437000	0.000000
Long_public_static_int_java_lang_Long_compare_long_long	unknown	0.440000	0.440000	0.000000
Long_public_static_int_java_lang_Long_numberOfLeadingZeros_long	unknown	0.438000	0.438000	0.000000
Long_public_static_int_java_lang_Long_numberOfTrailingZeros_long	unknown	0.446000	0.446000	0.000000
Long_public_static_int_java_lang_Long_signum_long	unknown	0.443000	0.443000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_java_lang_Long	unknown	0.441000	0.441000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_long	unknown	0.465000	0.465000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_valueOf_long	unknown	0.441000	0.441000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toBinaryString_long	unknown	0.443000	0.443000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toHexString_long	unknown	0.452000	0.452000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toOctalString_long	unknown	0.453000	0.453000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toString_long	unknown	0.439000	0.439000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toString_long_int	unknown	0.450000	0.450000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long	unknown	0.441000	0.441000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long_int	unknown	0.440000	0.440000	0.000000
Long_public_static_long_java_lang_Long_highestOneBit_long	unknown	0.447000	0.447000	0.000000
Long_public_static_long_java_lang_Long_lowestOneBit_long	unknown	0.432000	0.432000	0.000000
Long_public_static_long_java_lang_Long_max_long_long	unknown	0.449000	0.449000	0.000000
Long_public_static_long_java_lang_Long_min_long_long	unknown	0.439000	0.439000	0.000000
Long_public_static_long_java_lang_Long_reverseBytes_long	unknown	0.461000	0.461000	0.000000
Long_public_static_long_java_lang_Long_reverse_long	unknown	0.432000	0.432000	0.000000
Long_public_static_long_java_lang_Long_rotateLeft_long_int	unknown	0.447000	0.447000	0.000000
Long_public_static_long_java_lang_Long_rotateRight_long_int	unknown	0.444000	0.444000	0.000000
Long_public_static_long_java_lang_Long_sum_long_long	unknown	0.434000	0.434000	0.000000
Math_public_static_int_java_lang_Math_getExponent_double	unknown	0.454000	0.454000	0.000000
Math_public_static_int_java_lang_Math_getExponent_float	unknown	0.455000	0.455000	0.000000
